		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  243  222  247  231  248  243  275  259  7.889210 0.444367 SUCCESS   0
000000011  233  252  224  254  243  247  271  272  9.308495 0.316944 SUCCESS   1
000000101  255  252  276  245  253  242  242  247  5.478545 0.705416 SUCCESS   2
000000111  225  234  238  247  242  260  260  266  6.359772 0.607000 SUCCESS   3
000001001  230  256  268  245  233  244  230  248  5.294250 0.725713 SUCCESS   4
000001011  250  248  232  244  263  250  257  237  3.405754 0.906380 SUCCESS   5
000001101  279  262  217  247  258  238  258  232 12.071864 0.148026 SUCCESS   6
000001111  237  229  217  245  256  254  238  259  6.411672 0.601221 SUCCESS   7
000010001  252  249  255  247  253  231  248  243  2.032013 0.980015 SUCCESS   8
000010011  232  234  242  269  241  247  230  234  5.053819 0.751809 SUCCESS   9
000010101  238  240  237  262  250  235  250  254  2.858164 0.942941 SUCCESS  10
000010111  256  247  217  237  253  247  236  216  7.964411 0.436954 SUCCESS  11
000011001  258  248  248  240  245  260  250  260  3.299837 0.914157 SUCCESS  12
000011011  259  265  224  237  297  259  251  248 17.760653 0.023094 SUCCESS  13
000011101  235  256  240  239  226  259  250  241  3.650421 0.887207 SUCCESS  14
000011111  260  227  219  237  248  256  245  258  6.679641 0.571558 SUCCESS  15
000100011  244  257  247  218  249  243  231  259  5.402285 0.713840 SUCCESS  16
000100101  205  249  266  257  237  231  247  283 16.698308 0.033408 SUCCESS  17
000100111  239  229  226  257  242  222  245  230  6.116164 0.634222 SUCCESS  18
000101001  260  248  252  245  240  236  259  243  2.691875 0.952183 SUCCESS  19
000101011  269  239  237  256  251  220  260  257  7.981358 0.435293 SUCCESS  20
000101101  258  250  258  233  253  240  246  233  3.246879 0.917923 SUCCESS  21
000101111  255  239  240  248  233  254  276  236  6.269743 0.617045 SUCCESS  22
000110011  230  232  232  231  237  248  261  257  5.008274 0.756691 SUCCESS  23
000110101  227  246  255  218  245  251  250  252  5.262475 0.729189 SUCCESS  24
000110111  258  242  252  255  266  261  254  275  9.284134 0.318897 SUCCESS  25
000111001  251  234  266  247  239  252  258  247  3.921568 0.864130 SUCCESS  26
000111011  241  254  273  217  239  240  249  250  7.534389 0.480219 SUCCESS  27
000111101  254  265  219  234  237  271  240  236  8.994981 0.342719 SUCCESS  28
000111111  249  258  199  247  262  246  235  221 13.565290 0.093824 SUCCESS  29
001000011  235  253  247  245  291  237  272  233 14.065217 0.080081 SUCCESS  30
001000101  238  244  226  242  218  235  244  234  5.248705 0.730693 SUCCESS  31
001000111  262  243  229  244  238  217  244  235  5.957289 0.652016 SUCCESS  32
001001011  220  255  262  251  225  234  240  276 10.881359 0.208513 SUCCESS  33
001001101  240  243  250  239  251  228  208  220  9.631541 0.291845 SUCCESS  34
001001111  250  227  241  242  252  207  255  217 11.169453 0.192281 SUCCESS  35
001010011  266  266  247  245  266  250  240  244  6.338589 0.609362 SUCCESS  36
001010101  236  228  216  242  218  258  247  217 11.611126 0.169416 SUCCESS  37
001010111  259  222  263  249  238  231  261  255  7.217698 0.513337 SUCCESS  38
001011011  255  244  255  246  247  257  248  242  1.837126 0.985604 SUCCESS  39
001011101  281  245  231  247  246  230  222  234  9.897392 0.272302 SUCCESS  40
001011111  246  241  251  260  243  253  261  243  2.875111 0.941949 SUCCESS  41
001100101  259  235  262  253  253  276  251  246  7.830956 0.450155 SUCCESS  42
001100111  230  255  252  244  251  254  259  253  3.493665 0.899681 SUCCESS  43
001101011  237  247  258  226  234  221  245  245  5.163972 0.739915 SUCCESS  44
001101101  245  259  226  230  239  242  218  212 10.572082 0.227144 SUCCESS  45
001101111  263  237  278  252  248  254  246  241  7.381869 0.496047 SUCCESS  46
001110101  242  254  222  259  245  262  255  262  6.655280 0.574240 SUCCESS  47
001110111  233  246  267  256  226  227  247  254  6.436032 0.598511 SUCCESS  48
001111011  214  248  238  255  226  265  271  236 11.146151 0.193555 SUCCESS  49
001111101  226  222  245  227  238  245  229  272  9.134792 0.331053 SUCCESS  50
001111111  230  242  238  251  260  249  239  229  3.472481 0.901315 SUCCESS  51
010000011  272  234  249  241  229  235  263  233  7.224053 0.512663 SUCCESS  52
010000111  255  258  235  232  244  259  252  241  3.533913 0.896542 SUCCESS  53
010001011  265  256  233  250  225  233  243  244  5.193629 0.736695 SUCCESS  54
010001111  255  243  216  257  242  219  245  229  8.226026 0.411709 SUCCESS  55
010010011  223  252  259  241  251  243  243  256  3.940633 0.862440 SUCCESS  56
010010111  222  266  249  241  244  217  255  269 10.483112 0.232740 SUCCESS  57
010011011  235  247  259  239  242  230  231  210  7.964411 0.436954 SUCCESS  58
010011111  222  229  259  268  252  262  225  245  9.564814 0.296907 SUCCESS  59
010100011  259  234  226  253  261  267  251  243  6.726244 0.566436 SUCCESS  60
010100111  229  262  239  229  242  240  243  249  3.600641 0.891240 SUCCESS  61
010101011  241  212  239  234  228  266  236  218 11.259482 0.187426 SUCCESS  62
010101111  240  226  274  241  237  266  238  255  8.188955 0.415234 SUCCESS  63
010110011  248  255  230  249  248  234  198  244 11.022228 0.200443 SUCCESS  64
010110111  262  252  232  259  244  246  255  255  4.193774 0.839231 SUCCESS  65
010111011  236  223  218  229  241  230  245  244  6.921131 0.545166 SUCCESS  66
010111111  249  243  241  229  223  265  256  233  5.975294 0.649999 SUCCESS  67
011000111  225  247  229  247  232  263  236  274  8.782089 0.361011 SUCCESS  68
011001111  234  262  243  245  268  243  222  242  6.309991 0.612552 SUCCESS  69
011010111  249  235  249  228  232  225  261  260  6.102395 0.635763 SUCCESS  70
011011111  256  233  264  243  230  259  246  223  6.488991 0.592629 SUCCESS  71
011101111  247  251  263  263  225  238  265  231  7.538626 0.479783 SUCCESS  72
011111111  240  233  260  265  265  262  230  248  7.619123 0.471531 SUCCESS  73
100000000  243  222  247  231  248  243  275  259  7.889210 0.444367 SUCCESS  74
100010000  232  240  232  252  292  247  261  232 13.155392 0.106614 SUCCESS  75
100100000  241  272  256  245  260  251  275  241  9.282016 0.319067 SUCCESS  76
100101000  244  243  230  253  266  259  237  253  4.697938 0.789319 SUCCESS  77
100110000  235  258  241  217  252  273  235  271 11.534866 0.173194 SUCCESS  78
100111000  251  262  253  242  249  246  244  233  2.546769 0.959514 SUCCESS  79
101000000  250  231  231  250  236  232  253  261  4.194834 0.839131 SUCCESS  80
101000100  228  235  208  266  269  255  230  245 12.981689 0.112481 SUCCESS  81
101001000  264  248  244  260  242  228  249  243  4.031722 0.854250 SUCCESS  82
101001100  268  272  232  262  248  246  215  269 13.977306 0.082359 SUCCESS  83
101010000  247  213  245  243  256  264  250  259  7.502614 0.483497 SUCCESS  84
101010100  269  251  244  244  223  236  252  234  5.689319 0.681987 SUCCESS  85
101011000  243  218  238  271  250  237  231  248  7.270657 0.507732 SUCCESS  86
101011100  248  245  268  236  236  243  265  244  4.892825 0.768967 SUCCESS  87
101100000  239  238  263  271  256  253  235  242  6.142643 0.631257 SUCCESS  88
101100100  254  239  234  220  238  227  247  231  5.590817 0.692959 SUCCESS  89
101101000  248  268  248  254  218  226  236  231  8.248268 0.409602 SUCCESS  90
101101100  246  227  243  242  235  220  247  218  7.027048 0.533717 SUCCESS  91
